,x,y,prop
0,-30,-30,2.0395933046800496
1,-30,-29,2.04199657353169
2,-30,-28,2.0307752483572945
3,-30,-27,2.0996750259710595
4,-30,-26,2.0996750259710595
5,-30,-25,2.0996750259710595
6,-30,-24,2.0996750259710595
7,-30,-23,0.758116275225948
8,-30,-22,0.7534550297677726
9,-30,-21,0.8075649343004705
10,-30,-20,1.8592197728932085
11,-30,-19,1.95430929447328
12,-30,-18,2.093584014817535
13,-30,-17,2.0925688462919476
14,-30,-16,2.058530108463484
15,-30,-15,2.205418928922591
16,-30,-14,2.2847176913383596
17,-30,-13,2.025473184979278
18,-30,-12,2.025473184979278
19,-30,-11,2.025473184979278
20,-30,-10,2.025473184979278
21,-29,-30,2.0395933046800496
22,-29,-29,2.0763900381695426
23,-29,-28,2.0996750259710595
24,-29,-27,2.0996750259710595
25,-29,-26,2.0996750259710595
26,-29,-25,2.0996750259710595
27,-29,-24,1.0794934250811974
28,-29,-23,0.970196737304206
29,-29,-22,0.826823497868709
30,-29,-21,0.7480723902414492
31,-29,-20,0.758116275225948
32,-29,-19,0.7858743667964033
33,-29,-18,0.966585839151513
34,-29,-17,1.975371444367671
35,-29,-16,2.048916599691689
36,-29,-15,2.049931768217276
37,-29,-14,2.3458489423288653
38,-29,-13,1.846184352937725
39,-29,-12,2.025473184979278
40,-29,-11,2.025473184979278
41,-29,-10,2.025473184979278
42,-28,-30,0.9354256358952076
43,-28,-29,2.0996750259710595
44,-28,-28,2.0996750259710595
45,-28,-27,2.0996750259710595
46,-28,-26,2.0996750259710595
47,-28,-25,1.6495283526112874
48,-28,-24,1.9667774490760337
49,-28,-23,1.9319824626838868
50,-28,-22,1.6977728585515386
51,-28,-21,1.2588962045618393
52,-28,-20,0.7067932955418798
53,-28,-19,0.4278533284422692
54,-28,-18,0.4573135849431437
55,-28,-17,0.5693763330739341
56,-28,-16,1.726186492322472
57,-28,-15,2.048916599691689
58,-28,-14,2.0549979252980495
59,-28,-13,2.313488864165582
60,-28,-12,2.1610880616219084
61,-28,-11,2.025473184979278
62,-28,-10,2.025473184979278
63,-27,-30,2.099675025971059
64,-27,-29,2.0996750259710595
65,-27,-28,2.0996750259710595
66,-27,-27,2.0996750259710595
67,-27,-26,1.2916469916691355
68,-27,-25,1.913266583897556
69,-27,-24,2.045722722473008
70,-27,-23,2.0851953591714953
71,-27,-22,2.0790966326112725
72,-27,-21,1.842144983247179
73,-27,-20,1.686236027305786
74,-27,-19,1.3545754314176472
75,-27,-18,0.4564797937000897
76,-27,-17,0.3323374278723067
77,-27,-16,0.2029987983082599
78,-27,-15,0.2363058469233212
79,-27,-14,2.048916599691689
80,-27,-13,2.048916599691689
81,-27,-12,3.1590572259132084
82,-27,-11,3.238518720222039
83,-27,-10,2.0739950063889885
84,-26,-30,2.0996750259710595
85,-26,-29,2.0996750259710595
86,-26,-28,2.0996750259710595
87,-26,-27,0.6444372926583047
88,-26,-26,1.2244096383835577
89,-26,-25,1.9863092852692543
90,-26,-24,2.1101899214391
91,-26,-23,2.1246679958699826
92,-26,-22,2.1246679958699826
93,-26,-21,2.045722722473008
94,-26,-20,1.9539036521837447
95,-26,-19,1.7601218268897905
96,-26,-18,1.7007920872637323
97,-26,-17,1.0904487982997455
98,-26,-16,0.2313729803336877
99,-26,-15,0.2029987983082599
100,-26,-14,0.496938267486224
101,-26,-13,2.14626761645781
102,-26,-12,2.0610792509044105
103,-26,-11,3.238518720222039
104,-26,-10,3.238518720222039
105,-25,-30,1.985776859482006
106,-25,-29,1.9801696424761424
107,-25,-28,0.2317572337352749
108,-25,-27,0.6400723065594189
109,-25,-26,1.1369890037542632
110,-25,-25,1.856278887715681
111,-25,-24,1.9814735378558357
112,-25,-23,2.1246679958699826
113,-25,-22,2.0934561569457917
114,-25,-21,2.0851953591714953
115,-25,-20,2.132928793644279
116,-25,-19,1.870099670109244
117,-25,-18,1.854889290131233
118,-25,-17,1.6321770353236251
119,-25,-16,0.4255601747219404
120,-25,-15,-0.7316990572531529
121,-25,-14,-0.7882794474936903
122,-25,-13,1.555120356526895
123,-25,-12,1.7767952512882204
124,-25,-11,2.7489705793260826
125,-25,-10,3.238518720222039
126,-24,-30,1.6042493990806914
127,-24,-29,0.139538018568108
128,-24,-28,0.5426253365267794
129,-24,-27,0.8357960186513432
130,-24,-26,1.2255944355972432
131,-24,-25,1.5543047690693297
132,-24,-24,1.9515690525133544
133,-24,-23,2.08359551451834
134,-24,-22,2.08702671134449
135,-24,-21,2.2165585319460956
136,-24,-20,2.094920016699006
137,-24,-19,2.1437831632658035
138,-24,-18,2.015065947045437
139,-24,-17,1.807062250146113
140,-24,-16,1.7297943294729712
141,-24,-15,1.254255647385636
142,-24,-14,-0.8157043072840113
143,-24,-13,1.545423314399273
144,-24,-12,1.7460854329968938
145,-24,-11,0.6294583884224183
146,-24,-10,3.1838203884175367
147,-23,-30,0.1079186343891134
148,-23,-29,0.3074449780307544
149,-23,-28,0.6095628008992324
150,-23,-27,1.010005934625867
151,-23,-26,1.4336650963749975
152,-23,-25,1.3384551837810663
153,-23,-24,1.594017426737247
154,-23,-23,1.7113964535801798
155,-23,-22,2.2048870759547867
156,-23,-21,2.163465634630432
157,-23,-20,2.251646517165663
158,-23,-19,2.4418735232194466
159,-23,-18,2.344199013782698
160,-23,-17,2.3898181412442336
161,-23,-16,2.442163261921908
162,-23,-15,1.9124905039064428
163,-23,-14,0.956275878735765
164,-23,-13,0.6793002481448789
165,-23,-12,1.9784848475264705
166,-23,-11,1.9428714191093115
167,-23,-10,0.5036021299969136
168,-22,-30,0.2762498185432359
169,-22,-29,0.6351006026195268
170,-22,-28,1.0136255361810134
171,-22,-27,1.2724833226408012
172,-22,-26,1.1450272623864477
173,-22,-25,1.4107346253203974
174,-22,-24,1.4099765944716645
175,-22,-23,1.4310940958117948
176,-22,-22,1.3079613831600905
177,-22,-21,1.4540621712501938
178,-22,-20,1.447304858673416
179,-22,-19,1.8234383988973009
180,-22,-18,1.9037678154779831
181,-22,-17,2.0375417455613056
182,-22,-16,2.21656476555005
183,-22,-15,1.925312177083908
184,-22,-14,1.9205416297493592
185,-22,-13,0.6738269023553903
186,-22,-12,1.9784848475264705
187,-22,-11,1.9784848475264705
188,-22,-10,0.7943355075891566
189,-21,-30,1.233866766564137
190,-21,-29,1.4053734365082138
191,-21,-28,1.5200909962206424
192,-21,-27,1.2912815597798426
193,-21,-26,1.3150291671523615
194,-21,-25,1.3181257938034567
195,-21,-24,1.1618605950699867
196,-21,-23,1.1889748382382408
197,-21,-22,1.2891394754515468
198,-21,-21,1.1889748382382408
199,-21,-20,1.1875562663883417
200,-21,-19,1.1147284246009506
201,-21,-18,1.4874883093669586
202,-21,-17,1.4995738071269529
203,-21,-16,1.6357307220047652
204,-21,-15,1.2420834180958422
205,-21,-14,1.3154864814381408
206,-21,-13,1.0378167461676386
207,-21,-12,1.969594457752364
208,-21,-11,1.997075112299023
209,-21,-10,2.4107762662599947
210,-20,-30,1.4745817936805674
211,-20,-29,1.539104007128453
212,-20,-28,1.380072597484573
213,-20,-27,1.3418519000905889
214,-20,-26,1.2936201555822044
215,-20,-25,1.3418519000905889
216,-20,-24,1.1388925196315878
217,-20,-23,1.3392217940582
218,-20,-22,1.2390571568448936
219,-20,-21,1.2891394754515468
220,-20,-20,1.2863023317517486
221,-20,-19,1.2947515928651705
222,-20,-18,1.378994778527923
223,-20,-17,1.4144379153219069
224,-20,-16,1.3842536263877876
225,-20,-15,1.2804226249917974
226,-20,-14,1.3836573079709689
227,-20,-13,1.0014991834052211
228,-20,-12,1.4850549107677398
229,-20,-11,1.898346813050854
230,-20,-10,2.7305230888236967
231,-19,-30,1.5013279078046151
232,-19,-29,1.497762589811125
233,-19,-28,1.3893041126648529
234,-19,-27,1.3893041126648529
235,-19,-26,1.3647984744436
236,-19,-25,1.3392217940582
237,-19,-24,1.088810201024935
238,-19,-23,1.3392217940582
239,-19,-22,1.2390571568448936
240,-19,-21,1.2390571568448936
241,-19,-20,1.1388925196315878
242,-19,-19,1.009532322343375
243,-19,-18,1.189776199065854
244,-19,-17,1.3628205738323214
245,-19,-16,1.1563512078739782
246,-19,-15,1.3112032323427356
247,-19,-14,1.2079685493635643
248,-19,-13,1.1047338663843926
249,-19,-12,1.228091350574075
250,-19,-11,1.5559962043670637
251,-19,-10,2.7200247241908766
252,-18,-30,1.601581485982961
253,-18,-29,1.4571555136475656
254,-18,-28,1.3893041126648529
255,-18,-27,1.3893041126648529
256,-18,-26,1.3893041126648529
257,-18,-25,1.2891394754515468
258,-18,-24,1.2390571568448936
259,-18,-23,1.1889748382382408
260,-18,-22,1.1388925196315878
261,-18,-21,1.038727882418282
262,-18,-20,1.038727882418282
263,-18,-19,0.9096973343608384
264,-18,-18,1.1269536511262188
265,-18,-17,1.1563512078739782
266,-18,-16,1.3112032323427356
267,-18,-15,1.053116524894807
268,-18,-14,1.25958589085315
269,-18,-13,1.1047338663843926
270,-18,-12,1.1628595367460213
271,-18,-11,1.6009590310949031
272,-18,-10,3.2914650974500024
273,-17,-30,1.809568422367288
274,-17,-29,1.1802370381409746
275,-17,-28,1.397834238838929
276,-17,-27,1.3893041126648529
277,-17,-26,1.3893041126648529
278,-17,-25,1.3893041126648529
279,-17,-24,1.3893041126648529
280,-17,-23,1.3893041126648529
281,-17,-22,1.088810201024935
282,-17,-21,0.9886455638116292
283,-17,-20,1.2327530184003628
284,-17,-19,1.128797692066909
285,-17,-18,0.9385207790873348
286,-17,-17,1.0484294327896089
287,-17,-16,1.1047338663843926
288,-17,-15,0.9968120913000228
289,-17,-14,1.25958589085315
290,-17,-13,1.053116524894807
291,-17,-12,1.2620332198680686
292,-17,-11,1.910676151067986
293,-17,-10,3.250837508072536
