SMILES,SELFIES,logP,qed,SAS,obj
O=C(CCNc1ncccn1)Nc1ccc2c(c1)Cc1ccccc1-2,[O][=C][Branch1][N][C][C][N][C][=N][C][=C][C][=N][Ring1][=Branch1][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],3.488500000000002,0.5877154339048932,2.138418387943794,0.8001587815806719
Cc1ccc(Cl)cc1NC(=O)C(c1ccccc1)n1cnnn1,[C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=N][N][=N][Ring1][Branch1],2.863020000000001,0.7993823504173735,2.598135151585499,1.3987766005013684
COc1cccc(CNC(=O)c2ccnc(-c3cccs3)c2)c1,[C][O][C][=C][C][=C][C][Branch2][Ring1][Branch2][C][N][C][=Branch1][C][=O][C][=C][C][=N][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][Ring1][O][=C][Ring2][Ring1][Branch1],3.748700000000002,0.7774729180528615,1.9385902896213647,1.9487743006429428
CCN(CC)S(=O)(=O)N1CCN(CC(F)F)CC1,[C][C][N][Branch1][Ring1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][#Branch1][C][C][Branch1][C][F][F][C][C][Ring1][#Branch2],0.4557000000000002,0.711809808962705,2.464508695222685,1.0945403495908397
COc1cc(CNc2ccc(C#N)cc2)c2c(c1)CC(C)O2,[C][O][C][=C][C][Branch1][#C][C][N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=C][C][=Branch1][Ring2][=C][Ring1][S][C][C][Branch1][C][C][O][Ring1][#Branch1],3.5023800000000023,0.9373309036819256,2.75888137316106,1.927773145248568
CCC1CCCN(C(=O)Cc2c(C)nc(-c3cccnc3)[nH]c2=O)C1,[C][C][C][C][C][C][N][Branch2][Ring1][N][C][=Branch1][C][=O][C][C][=C][Branch1][C][C][N][=C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][NH1][C][Ring1][=N][=O][C][Ring2][Ring1][#Branch1],2.3314200000000005,0.926336658444157,2.9306971023289368,1.7009861898918484
Cn1ccc(C(=O)NCc2ccc(OC(F)(F)F)cc2)cc1=O,[C][N][C][=C][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][=C][C][Ring2][Ring1][Branch1][=O],2.2139,0.937047288894271,2.0990320806661416,2.586204363805214
NC(=O)c1cc(C2CCCN(C(=O)C3CCCO3)C2)n[nH]1,[N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][=Branch1][C][C][C][C][N][Branch1][N][C][=Branch1][C][=O][C][C][C][C][O][Ring1][Branch1][C][Ring1][=N][=N][NH1][Ring2][Ring1][C],0.3935999999999995,0.8412103317976753,3.4745807423517023,0.7314709166366749
Cc1ccc(-c2ccc(C(=O)NC(C)(C)CO)o2)cc1C,[C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][O][O][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C],3.064140000000002,0.9081129801153566,2.2127270212418857,2.327837879334897
COc1cc(CNc2cn[nH]c2)cc(Cl)c1OCC(N)=O,[C][O][C][=C][C][Branch1][#Branch2][C][N][C][C][=N][NH1][C][=Ring1][Branch1][=C][C][Branch1][C][Cl][=C][Ring1][=C][O][C][C][Branch1][C][N][=O],1.5478999999999994,0.7197808441177214,2.4371442723226515,1.1617599482659555
Cc1ccccc1C(=O)N1CCCC1C(=O)NCc1ccco1,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][O][Ring1][Branch1],2.5090200000000005,0.9432985360915718,2.4006868998372486,2.31580578062061
Cc1ccc(S(C)(=O)=O)cc1-c1nc(-c2ccc(C#N)cn2)no1,[C][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][=N][O][Ring1][=N],2.3822,0.7195259565611579,2.419159095608848,1.1784706871969417
O=C(Nc1cccc2c1CCCC2)c1cnns1,[O][=C][Branch1][S][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][C][=C][N][=N][S][Ring1][Branch1],2.669200000000001,0.9017245505240872,2.389818328749536,2.1188044238709
