SMILES,SELFIES,logP,qed,SAS,objective
O=C(Nc1cccc(O)c1)c1ccccc1-n1cnnn1,[O][=C][Branch1][=N][N][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=N][N][=N][Ring1][Branch1],1.6201999999999992,0.7606037611289668,2.0343258398520927,1.768692965792741
Cc1cc2c(NCCC(=O)NCc3cccnc3)ncnc2s1,[C][C][=C][C][=C][Branch2][Ring1][C][N][C][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][N][=C][Ring1][=Branch1][N][=C][N][=C][Ring2][Ring1][Ring1][S][Ring2][Ring1][=Branch1],2.5131200000000007,0.7270361340201557,2.327181564018609,1.3079991060821694
COCCN1CCN(C(=O)c2ccc(Cn3ccnc3)cc2)CC1=O,[C][O][C][C][N][C][C][N][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][N][C][=C][N][=C][Ring1][Branch1][C][=C][Ring1][N][C][C][Ring2][Ring1][Ring2][=O],0.8621999999999992,0.7809366474132706,2.271510851561258,1.633172385505095
Cc1ccc2ncc(C(=O)NCC3CCOC3C(C)C)n2c1,[C][C][C][=C][C][=N][C][=C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][C][C][O][C][Ring1][Branch1][C][Branch1][C][C][C][N][Ring1][P][C][=Ring2][Ring1][Branch1],2.4336200000000003,0.943391403139034,3.5554182954834603,1.16153872021171
N#Cc1ccccc1OCC(=O)N1CCC2CCCCC2C1,[N][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][N][C][C][C][C][C][C][C][C][Ring1][=Branch1][C][Ring1][#Branch2],2.975780000000001,0.8617474569434912,2.8306724983370586,1.478064786380397
O=C(NCCCSc1ccccc1)c1ccncc1F,[O][=C][Branch1][=C][N][C][C][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][F],3.132900000000002,0.6562541793409375,1.9932375460545693,1.2880333506501183
O=C(Cn1cccnc1=O)Nc1ccc(OCc2ccccc2)cc1,[O][=C][Branch1][O][C][N][C][=C][C][=N][C][Ring1][=Branch1][=O][N][C][=C][C][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C],2.4610000000000003,0.7508971910858298,1.8575966524042504,1.8968893030248986
COc1cc(C)nc(N2CCN(C(=O)C(C)n3cncn3)CC2)n1,[C][O][C][=C][C][Branch1][C][C][=N][C][Branch2][Ring1][#Branch2][N][C][C][N][Branch1][S][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=N][C][=N][Ring1][Branch1][C][C][Ring1][#C][=N][Ring2][Ring1][=Branch1],0.2949199999999996,0.7954945788025087,2.954142435995349,1.0233304580171945
O=C(NCCCO)C1CCN(S(=O)(=O)c2cccs2)CC1,[O][=C][Branch1][=Branch1][N][C][C][C][O][C][C][C][N][Branch1][#C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1][C][C][Ring1][=C],0.6473999999999998,0.7489130266134814,2.116575302309613,1.6279898307577936
C#CCNC(=O)COc1ccc(C=CC)cc1OC,[C][#C][C][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][Ring2][C][=C][C][C][=C][Ring1][=Branch2][O][C],1.8565,0.7931623117758598,2.262541831768349,1.7032697271109503
CC(C)c1c(C2CCN(C(=O)NCc3ccco3)CC2)noc1N,[C][C][Branch1][C][C][C][C][Branch2][Ring1][Branch2][C][C][C][N][Branch1][=C][C][=Branch1][C][=O][N][C][C][=C][C][=C][O][Ring1][Branch1][C][C][Ring1][#C][=N][O][C][=Ring2][Ring1][Ring2][N],3.062400000000001,0.8964817905186915,2.737355654668752,1.7450532979247058
Oc1ccc(Cl)cc1-c1nc2cc3c(cc2[nH]1)OCCO3,[O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=N][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][O][C][C][O][Ring1][=Branch2],3.360100000000001,0.7230814566431675,2.359562914253102,1.2558443689627352
Cc1noc(C)c1S(=O)(=O)N1CCN(CCn2cccn2)CC1,[C][C][=N][O][C][Branch1][C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][#Branch2][C][C][N][C][=C][C][=N][Ring1][Branch1][C][C][Ring1][=N],0.4944399999999993,0.7883522447197047,2.4086469919087445,1.5331142316897788
COCCNc1nc(-c2ccc(OC)c(C)c2)c(C)cc1C#N,[C][O][C][C][N][C][=N][C][Branch1][S][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][C][C][=C][Ring1][=Branch2][=C][Branch1][C][C][C][=C][Ring1][S][C][#N],3.304020000000002,0.829059842609298,2.3471053979738343,1.798193815072656
COc1ccc(Cl)cc1NC(=O)Nc1ccc2[nH]c(=O)oc2c1,[C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][NH1][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=C][Ring1][#Branch2],3.4271000000000003,0.6837840644501297,2.110360364689809,1.3085599575608398
CCc1onc(C)c1NC(=O)N(C)C1CCc2ccccc2C1,[C][C][C][O][N][=C][Branch1][C][C][C][=Ring1][=Branch1][N][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2],3.566620000000002,0.942181110655454,3.076058228508577,1.6348473247686925
O=C(CCC1CCCC1)N(CC1CCCO1)c1ccncc1,[O][=C][Branch1][#Branch2][C][C][C][C][C][C][C][Ring1][Branch1][N][Branch1][=Branch2][C][C][C][C][C][O][Ring1][Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],3.5640000000000027,0.8065855353700826,2.8051021677510874,1.2278255090993255
CCOC(=O)NC1CCCN(C(=O)c2ccc3c(c2)nc(C)n3C)C1,[C][C][O][C][=Branch1][C][=O][N][C][C][C][C][N][Branch2][Ring1][Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=C][Branch1][C][C][N][Ring1][#Branch1][C][C][Ring2][Ring1][Ring1],2.2324200000000003,0.9262722078543562,2.6907694719311657,1.9405915673406149
