gen_mol,gen_romol,gen_logP,gen_qed,gen_SAS,gen_obj
CCCCCn1c(CNC(C)=O)nc2cc(Cl)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000018BA777CCF0>,3.516000000000002,0.8284945378022491,2.027244092094735,2.115228596916511
CCc1nc(COc2ccc(OC)cc2C(=O)OC)cs1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA777CC80>,3.0797000000000017,0.7676188879544233,2.0768978577203043,1.7611965820518125
COc1ccc(CC(=O)N2CCC3(CC2)OCCCO3)c(OC)c1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA777CEB0>,2.0019,0.8422938742263247,2.7989880488224212,1.412481322309202
Cc1ccc(S(=O)(=O)CC(=O)NCc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A7190>,2.08512,0.9196249267642803,1.6837844287763684,2.9143402050450335
COc1cccc(CCC(=O)NCc2cnc(C)s2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A7200>,2.7091200000000013,0.889661547611961,1.996242111180912,2.452065626878893
O=C(CSc1ccncc1)N1CCCC1c1ccc2c(c1)OCO2,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A7270>,3.2661000000000016,0.798403212694502,2.7420119312474043,1.2500041322251056
CN(C)C(=O)c1ccc(NC(=O)N2CCc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A72E0>,2.9830000000000014,0.9269604227531705,1.8798453351040116,2.7549567786618407
CCN(CC)C(=O)CCC(=O)Oc1c(C)cccc1C,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A7350>,2.8574400000000013,0.5931062361656398,2.0661311800068223,0.8994000008213767
CC1CN(c2cc(N3CCOCC3)ncn2)CC(C)O1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A73C0>,0.9267999999999996,0.8018630770165733,3.1151396547115002,0.8941757303713667
N#Cc1ccc(N2CCC(C(=O)N3CCCCC3)CC2)c(F)c1,<rdkit.Chem.rdchem.Mol object at 0x0000018BA77A7430>,2.926280000000001,0.8428506479707925,2.075246066680128,2.139007173173834
