gen_mol,gen_romol,gen_logP,gen_qed,gen_SAS,gen_obj
CCn1cc(C(N)=O)c(-c2ccc3c(c2)OCCCO3)n1,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924200>,1.8302,0.9336509783908555,2.3381143896629393,2.3301405022913384
CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccc(OC)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924040>,1.9339999999999995,0.8277542346682416,2.747263439426691,1.3915077339145174
COCC(O)CN(C)S(=O)(=O)c1c(C)cccc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924510>,0.6314199999999999,0.7994209339220298,2.7775576181250194,1.2195470514851299
Cc1csc(C2CN(Cc3cccn3CCC(C)C)CCO2)n1,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924580>,3.872620000000003,0.803675514828214,3.187857529207877,0.8305200449331931
CCCNC(=O)CNC(=O)Nc1ccccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000238AE9245F0>,1.9876999999999994,0.7650045212916846,1.6979991182996077,2.1270234881588155
Cc1cc(N)ccc1Nc1nc(C(F)F)ccc1C(=O)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924660>,3.355220000000002,0.8475275215151958,2.5066159516338846,1.7310216559420946
COc1cc(CC(=O)NCc2c(C)cc(C)[nH]c2=O)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x00000238AE9246D0>,1.8764399999999997,0.7868343623839867,2.248252024674928,1.6859197872450058
O=C(c1cccs1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924740>,2.868400000000001,0.7866628734407612,2.168337247141457,1.7649771200623494
c1cncc(CNc2ccc(-n3ccnc3)nn2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000238AE9247B0>,1.6693999999999998,0.7645614911757871,2.362613315994153,1.4601941398847824
O=C(Cn1cccc(C(F)(F)F)c1=O)c1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000238AE924820>,3.903200000000002,0.682865010982282,2.109986879764989,1.3043381751464214
