SMILES,logP,qed,SAS,obj
O=C(CCNc1ncccn1)Nc1ccc2c(c1)Cc1ccccc1-2,3.488500000000002,0.5877154339048932,2.138418387943794,0.8001587815806719
Cc1ccc(Cl)cc1NC(=O)C(c1ccccc1)n1cnnn1,2.863020000000001,0.7993823504173735,2.598135151585499,1.3987766005013684
COc1cccc(CNC(=O)c2ccnc(-c3cccs3)c2)c1,3.748700000000002,0.7774729180528615,1.9385902896213647,1.9487743006429428
CCN(CC)S(=O)(=O)N1CCN(CC(F)F)CC1,0.4557000000000002,0.711809808962705,2.464508695222685,1.0945403495908397
COc1cc(CNc2ccc(C#N)cc2)c2c(c1)CC(C)O2,3.5023800000000023,0.9373309036819256,2.75888137316106,1.927773145248568
CCC1CCCN(C(=O)Cc2c(C)nc(-c3cccnc3)[nH]c2=O)C1,2.3314200000000005,0.926336658444157,2.9306971023289368,1.7009861898918484
Cn1ccc(C(=O)NCc2ccc(OC(F)(F)F)cc2)cc1=O,2.2139,0.937047288894271,2.0990320806661416,2.586204363805214
NC(=O)c1cc(C2CCCN(C(=O)C3CCCO3)C2)n[nH]1,0.3935999999999995,0.8412103317976753,3.4745807423517023,0.7314709166366749
Cc1ccc(-c2ccc(C(=O)NC(C)(C)CO)o2)cc1C,3.064140000000002,0.9081129801153566,2.2127270212418857,2.327837879334897
COc1cc(CNc2cn[nH]c2)cc(Cl)c1OCC(N)=O,1.5478999999999994,0.7197808441177214,2.4371442723226515,1.1617599482659555
Cc1ccccc1C(=O)N1CCCC1C(=O)NCc1ccco1,2.5090200000000005,0.9432985360915718,2.4006868998372486,2.31580578062061
Cc1ccc(S(C)(=O)=O)cc1-c1nc(-c2ccc(C#N)cn2)no1,2.3822,0.7195259565611579,2.419159095608848,1.1784706871969417
O=C(Nc1cccc2c1CCCC2)c1cnns1,2.669200000000001,0.9017245505240872,2.389818328749536,2.1188044238709
Cc1nnc(NC(=O)COc2ccc3ccccc3c2)s1,3.017220000000002,0.8040222930069875,1.8881830907978705,2.1319283742370674
COC(=O)CCNS(=O)(=O)c1cccc(Cl)c1F,1.3205,0.8316841115118024,2.0564308106073,2.101989746951712
CCc1noc(CC)c1CC(=O)N1CCCCC1c1ncc[nH]1,2.8188000000000004,0.9201038770490424,3.361452634102984,1.2390667511422282
COc1cc(OC)c2[nH]c(C)c(CC#N)c(=O)c2c1,1.9198,0.9121704098505864,2.5406797127552867,2.0201723364976454
Cc1ccc(NC(=O)CCNC(=O)CCc2ccccc2)nc1,2.46762,0.8249298676499496,1.806095717029779,2.3185536212199693
Cc1cc(C(=O)CN(C)CCC#N)c(C)n1Cc1ccc(F)cc1,3.320520000000002,0.7330780388538553,2.2809999368571514,1.3843902574121247
CS(=O)(=O)N(CCCO)c1ccc2c(c1)OCO2,0.5637000000000001,0.8481927067962505,2.2946797336842213,1.9462838002970315
CC(C)C(=O)Nc1ccc(NC(=O)c2ccc3[nH]cnc3c2)cc1,3.409700000000001,0.6876798242506638,2.003167419374634,1.4352317018786849
CCc1cccc(CC)c1NC(=O)CSc1cnnc(O)n1,2.4328,0.7953894340632939,2.6933965581793124,1.283550612137157
CCN(C(=O)NCCC(=O)N(C)C)C1CCCC1,1.4387999999999996,0.8078942891963716,2.244011344359261,1.7954601016225973
Cc1nn(Cc2ccccc2)c2ncc(NC(=O)C3CCCO3)cc12,2.905520000000001,0.7952471127674212,2.665614370320448,1.310621193516658
CCOC(=O)C1CCCN1C(=O)Cc1ccccn1,1.1781999999999997,0.7644348044678156,2.4551186811105428,1.3670553412285351
COc1cc(Br)ccc1CN1CC(C)OC(C(N)=O)C1,1.5322999999999996,0.9006585267298611,3.161133756471809,1.3421588771774964
CCOC(=O)CCCNC(=O)Nc1ccc(Br)cc1,2.913900000000001,0.6228369216011995,1.7364193353967965,1.377765272609201
O=c1oc(-c2ccco2)nn1CC(O)c1cc(F)ccc1F,2.1081000000000003,0.798029540811563,3.0132552122252214,0.9768924918325936
CC(Sc1nnc(-c2ccncc2)o1)C(=O)N(C(C)C)C(C)C,3.257600000000002,0.75512286089695,2.940460426310775,0.8351538781739754
Cc1ccc(C)c(OCC(=O)NCC2COc3ccccc3O2)c1,2.638440000000001,0.9171196362673624,2.4882000889562,2.097398092380612
Fc1cc(Br)cc(F)c1NCc1nnc(C2CC2)o1,3.599800000000002,0.9306208795490476,2.5744512657306124,2.078653132014626
Cc1c(NS(=O)(=O)c2cccc(Cl)c2C)cccc1C(N)=O,2.85654,0.8977928973496125,1.9819622098595089,2.507002276888554
COc1ccc(C(=O)N2CCC(CO)C2)cc1F,1.2887,0.8826947663837924,2.309755419988198,2.103718411930764
CCN(Cc1cnn(CC)c1)C(=O)c1c(Cl)cccc1Cl,3.872100000000003,0.8363879572764789,2.2740770421828334,1.9078627441995613
C#CCCCCNS(=O)(=O)c1ccc(NC(C)=O)c2ccccc12,2.880000000000001,0.5989356563305875,2.2693230450922,0.7253552365607376
Cc1ccc(OCCC(=O)N2CCCC(CS(N)(=O)=O)C2)cc1,1.2910200000000005,0.8448227944707671,2.6405014977393453,1.5836124746144904
CCCCNC(=O)CN(C)S(=O)(=O)c1cccs1,1.2848999999999997,0.7694121722427747,2.099197529602589,1.7478633316112844
COc1ccc(OC(=O)Cn2ccc3cc(OC)ccc32)cc1,3.2641000000000018,0.5358810334000456,1.938974738008799,0.740430428991429
COCC#CCNc1cc(C(=O)OC)ccc1OC(C)C,2.3221,0.6436925781459295,2.494209402925538,0.7242534878041096
COc1ccc(NC(=O)Nc2ccc3c(c2)CCC(=O)N3C)cc1,3.248200000000001,0.9098345435343078,1.923307690867846,2.6258650268036927
COc1cccc(NC(=O)N2Cc3cncnc3C2)c1,2.0329,0.9063255426741702,2.22464974764608,2.3069779657247707
COCCN(Cc1ccsc1)C(=O)c1cc(C)on1,2.3333200000000005,0.8146403730460725,2.404884840960415,1.668317024269948
