SMILES,opt_romol,opt_logP,opt_qed,opt_SAS,opt_obj
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2C)o1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E06D0>,2.26494,0.8964463024535813,1.7661377734134156,2.7160937388544903
COc1ccc(C(=O)Nc2ccccc2C(=O)NC(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0B30>,3.085700000000002,0.8912780239141048,1.562934965281526,2.893455154288998
Cc1ccc(C(=O)N2CCCC2C(=O)NC2CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E02E0>,1.87822,0.9130241839412878,2.214930679497609,2.35019024020883
Cc1ccc(C(=O)Nc2cccc(C(N)=O)c2)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0900>,2.99962,0.9110770053540319,1.6076690821047244,2.9477159446654353
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0270>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0890>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
Cc1ccc(C(=O)NCC(=O)NCc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0BA0>,2.0412199999999996,0.8814164634408187,1.4549074665860147,2.9521748506180785
COc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0740>,2.0637,0.8828464794568149,1.4019090050475533,3.012323392236521
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0A50>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1N,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0F90>,1.94572,0.7497304895871969,1.639394598267895,2.1092578496680896
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C98281B350>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
COc1ccc(C(=O)Nc2cccc(C(=O)N3CCCC3)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C98281B120>,3.183500000000002,0.9394818733214427,1.5838923357625934,3.11351703084462
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624CF0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
COC(=O)CCC(=O)Nc1ccc(OC)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001C982624430>,2.2403000000000004,0.8343808189711704,1.7029488639824955,2.468955230873357
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624C10>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
Cc1ccc(C(=O)NCC(=O)Nc2cccc(Cl)c2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9826249E0>,3.3253400000000015,0.9087066983654558,1.617650973832406,2.9258825179948733
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624F20>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
COc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001C982624270>,2.0723,0.855593611749635,1.531491015577382,2.7464770431707928
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624EB0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624C80>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
Cc1ccc(C(=O)NCC(=O)NCc2ccccc2)s1,<rdkit.Chem.rdchem.Mol object at 0x000001C9826247B0>,2.1027199999999997,0.8849644828988931,1.7730323945817226,2.6517900199127427
Cc1ccc(C(=O)NCC(=O)Nc2cccc(Cl)c2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9826244A0>,3.3253400000000015,0.9087066983654558,1.617650973832406,2.9258825179948733
Cc1ccc(C(=O)NCC(=O)Nc2cccc(Cl)c2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9826246D0>,3.3253400000000015,0.9087066983654558,1.617650973832406,2.9258825179948733
COc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001C982624DD0>,2.0723,0.855593611749635,1.531491015577382,2.7464770431707928
Cc1ccc(C(=O)NCC(=O)NCCc2ccccc2)s1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624200>,2.1452199999999992,0.8587462358818235,1.8200120819706314,2.4737190974384866
COc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9826243C0>,2.0637,0.8828464794568149,1.4019090050475533,3.012323392236521
COc1ccc(C(=O)Nc2cccc(C(N)=O)c2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001C982624820>,2.0549999999999997,0.883884596805871,1.5817485778677156,2.8376744061616392
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1N,<rdkit.Chem.rdchem.Mol object at 0x000001C982624510>,1.94572,0.7497304895871969,1.639394598267895,2.1092578496680896
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982624740>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
COc1ccc(C(=O)Nc2cccc(C(=O)N3CCCC3)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982011A50>,3.183500000000002,0.9394818733214427,1.5838923357625934,3.11351703084462
CC(C)(C)c1ccc(C(=O)NCCCOC2CCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982011D60>,2.9095000000000013,0.8221263816074752,2.536634864830683,1.5739970432066928
COc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9828060B0>,2.0637,0.8828464794568149,1.4019090050475533,3.012323392236521
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806740>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
Cc1ccc(C(=O)NCC(=O)Nc2cccc(Cl)c2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806EB0>,3.3253400000000015,0.9087066983654558,1.617650973832406,2.9258825179948733
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806BA0>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9828064A0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806200>,2.2138,0.7463260931797805,2.667699511273014,1.0639309546258886
CC(C)(C)C(=O)NCCC(=O)Nc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806A50>,2.8309000000000006,0.8920555094191429,1.738235368863883,2.722042178231831
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806C80>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
CC(C)C(=O)NCCNC(=O)c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C9828069E0>,1.8419999999999994,0.800895147594605,1.655911501345134,2.348564236627891
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806120>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806430>,2.6039000000000003,0.738741626509679,2.6746947753234256,1.0190133572249693
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806C10>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
Cc1ccc(C(=O)NCC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806B30>,2.3635200000000003,0.8939817095950924,1.3787425160392122,3.0911660319362495
