SELFIES,SMILES,opt_romol,opt_logP,opt_qed,opt_SAS,opt_obj
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][C][C][C][N][Branch1][#C][C][=Branch1][C][=O][C][=C][C][Branch1][C][Cl][=C][NH1][Ring1][=Branch1][C][Ring1][=C],CC1=CC=CC=C1CNC(=O)C2CCCN(C(=O)C3=CC(Cl)=C[NH1]3)C2,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0190>,3.1451200000000012,0.8802860568777224,2.649193093661548,1.7522371907270635
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][O][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1][C],CC1=CC=C(C(=O)N2CCC(OCC3=CC=C(F)C=C3)CC2)C=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0D60>,4.263940000000003,0.8313059598879132,1.8877515612037286,2.2687782382358375
[C][C][=C][C][=C][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][=N][=N][Ring2][Ring1][=Branch1],CC1=CC=CC(NC(=O)C2=CC=C(CN3CCOCC3)C=C2)=N1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0BA0>,2.47452,0.9422827703754789,1.8593138257866908,2.852100026090704
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Ring1][#C][C][=C][Ring2][Ring1][Branch2],C1C=CC=C(C(=O)N2CCCC(C(=O)NC3=CC=CC=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0C10>,2.701200000000001,0.9300911773849903,3.1559101606236633,1.494545726301288
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][C][C][N][Branch1][=C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][=N],CC1=CC=CC=C1CNC(=O)C2CCN(C(=O)OC(C)(C)C)CC2,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0740>,3.258320000000002,0.9241010251187566,1.898193643150858,2.722311482442925
[C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][C][Ring1][O][C][=C][Ring2][Ring1][Ring1][C],CC1=CC=C(C(=O)N2CCCC(NS(C)(=O)=O)C2C)C1C,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0200>,1.4375000000000002,0.8572631243865318,4.126509652380777,0.15980596955188187
[C][C][=C][C][=C][C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=N][Ring2][Ring1][Branch1],CC1=CC=CC(NC(=O)C2CC(=O)N(C3=CC=CC=C3)C2)=N1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0660>,2.3816200000000007,0.9453524056543543,2.3677341204138074,2.359027907857964
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1][C],CC1=CC=C(C(=O)N2CCC(NC(=O)C3=CC=CC=C3)CC2)C=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0AC0>,3.338040000000002,0.9344422726831274,1.7220911061658093,2.9501202572498277
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][Branch1][C][F][Branch1][C][F][F][C][Ring1][O],CC1=CC=CC=C1CNC(=O)C2CC(=O)N(CC(F)(F)F)C2,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0DD0>,2.0220200000000004,0.9242259996982848,2.6064325819522693,2.0146974165391542
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0E40>,3.5212200000000022,0.8696188226869267,2.6309704178576894,1.7171236955769444
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1],CC1=CC=C(C(=O)N2CCC(NC(=O)C3=CC=CC=C3)CC2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0890>,3.0296200000000013,0.9441080485839991,1.627746516364601,3.092793726555395
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][N][Ring1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],CC1=CC=CC2=C1C=NN2CCC(=O)NCCC3=CC=CC=N3,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F06D0>,2.48872,0.7608629204715393,2.151976053111607,1.6523385492460894
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0510>,3.5212200000000022,0.8696188226869267,2.6309704178576894,1.7171236955769444
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1],CC1=CC=C(C(=O)N2CCC(C3=NC4=CC=CC=C4S3)CC2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827F0430>,4.624520000000004,0.6837165913431642,1.9110202765174922,1.5075626801983288
