SELFIES,SMILES,opt_romol,opt_logP,opt_qed,opt_SAS,opt_obj
[C][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],CCCNC(=O)CNC(=O)C1=CC=C(F)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C98281B820>,1.0816999999999992,0.8061306744566901,1.5397490695655964,2.490904302717854
[C][C][=C][C][=C][Branch2][Ring1][#C][C][=N][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][=N][O][Ring1][P][C][=C][Ring2][Ring1][#Branch1],CC1=CC=C(C2=NC(C(=O)N3CCC4(CC3)OCCO4)=NO2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0AC0>,2.02412,0.838739848098383,2.967297852931356,1.2264013875605588
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1],CC1=CC=C(C(=O)N2CCC(NC(=O)C3=CC=CC=C3)CC2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E09E0>,3.0296200000000013,0.9441080485839991,1.627746516364601,3.092793726555395
[C][C][=C][C][=C][C][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=C][Ring2][Ring1][C],CC1=CC=CC(NC(=O)CCCC(=O)NC(C)C)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0580>,2.628420000000001,0.8276399058376654,1.6873918429328025,2.4508076862555246
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0510>,3.5212200000000022,0.8696188226869267,2.6309704178576894,1.7171236955769444
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E05F0>,3.5212200000000022,0.8696188226869267,2.6309704178576894,1.7171236955769444
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][F],CC1=CC=CC=C1CNC(=O)C2=CC=CC=C2F,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0970>,3.0641200000000017,0.8815329027378745,1.4877204033674811,2.9199441103218913
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0CF0>,3.5212200000000022,0.8696188226869267,2.6309704178576894,1.7171236955769444
[C][C][=C][C][=C][Branch2][Ring2][C][C][N][C][=Branch1][C][=O][C][C][C][C][=Branch1][C][=O][N][Branch1][#C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][C][Ring1][#C][C][=N][Ring2][Ring1][=Branch2],CC1=CC=C(CNC(=O)C2CCC(=O)N(C3=CC=C(C)C(C)=C3)C2)C=N1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0F20>,3.0662600000000015,0.9207433399977852,2.5802836668108373,2.0234330331780885
[C][C][=C][C][=C][C][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][C][C][C][Branch1][C][C][=N][O][C][=Ring1][=Branch1][C][=C][Ring2][Ring1][C],CC1=CC=CC(NC(=O)CCC=2C(C)=NOC=2C)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0190>,3.171160000000002,0.9159834162673862,1.8741964036116006,2.7057206777253304
[C][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1][C],CC1=CC=C(C(=O)N2CCC(NC(=O)C3=CC=CC=C3)CC2)C=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0D60>,3.338040000000002,0.9344422726831274,1.7220911061658093,2.9501202572498277
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000001C9827E0040>,3.5212200000000022,0.8696188226869267,2.6309704178576894,1.7171236955769444
