SMILES,opt_romol,opt_logP,opt_qed,opt_SAS,opt_obj
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001C9828065F0>,2.2138,0.7463260931797805,2.667699511273014,1.0639309546258886
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806510>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806270>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
Cc1ccc(C(=O)NCC(=O)Nc2cccc(C)c2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806D60>,2.980360000000001,0.9109765765353379,1.585643659834929,2.969239222841761
CC(C)C(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806580>,3.533400000000002,0.9008460990899596,1.4327912084373828,3.0714392870124154
Cc1ccc(C(=O)NCC(=O)Nc2cccc(Cl)c2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806F90>,3.3253400000000015,0.9087066983654558,1.617650973832406,2.9258825179948733
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806E40>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(C)N(C)C(=O)c1ccc(Cl)c(N)c1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806890>,3.4288000000000016,0.850686491077128,2.5822677604137283,1.6711646949719121
CC(C)C(=O)Nc1cccc(C(=O)NCc2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x000001C982806660>,3.211100000000002,0.8897941567798838,1.541217898129684,2.9077528857697352
Cc1ccc(C(=O)NCCNC(=O)c2ccccc2)cc1N,<rdkit.Chem.rdchem.Mol object at 0x000001C9828066D0>,1.7370199999999998,0.5803179042496149,1.6984409750527618,1.2031485461953126
